additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","1A Roull Road, Corstorphine, Edinburgh, EH12 7JW","Added on 14/03/2025
 by Simpson & Marwick, Edinburgh",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 14/03/2025,A stunning modern three bedroom detached villa in the sought-after Corstorphine area of Edinburgh.,https://www.rightmove.co.uk/properties/159426749#/?channel=RES_BUY,625000,159426749,2000sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/159426749#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","India Street, Edinburgh","Added on 06/11/2024
 by Rettie, Edinburgh",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 06/11/2024,"**Fixed Price £25k below Home Report** Flat 5, 31 India Street is a generously proportioned, two-bedroom top floor apartment, situated on the distinguished wide cobbled street in the heart of the Edinburgh New Town, once famed as the only road in the city where a horse and carria...",https://www.rightmove.co.uk/properties/157517516#/?channel=RES_BUY,625000,157517516,1320sq. ft,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/157517516#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/253k/252134/150713888/252134_233034_DOC_00_0004.pdf""]","3D, Scotland Street, Edinburgh, EH3 6PP","Reduced on 27/02/2025
 by Neilsons Solicitors and Estate Agents, Edinburgh",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 27/02/2025,"A superb opportunity has arisen to acquire this ground and garden level main door flat, which forms part of a handsome period terrace, enjoying a superb central location in Edinburgh's iconic New Town.  Currently arranged as one split level dwelling, the property could easily be divided into two ...",https://www.rightmove.co.uk/properties/150713888#/?channel=RES_BUY,625000,150713888,,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/150713888#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","St. Albans Road, Grange, Edinburgh, EH9","Added on 14/03/2025
 by Lindsays, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",F,GB,GBP,Added on 14/03/2025,"A spacious four bedroom main door upper villa in the popular Grange area of Edinburgh. The property extends to approximately 1657 SQ FT and benefits from gas central heating, double glazing and a large private south facing rear garden. Entry is at ground level into a private hall and stair which ...",https://www.rightmove.co.uk/properties/159428921#/?channel=RES_BUY,620000,159428921,1657sq. ft,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/159428921#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/277k/276743/157605464/276743_225072_DOC_00_0001.pdf""]","76 Colinton Road, Edinburgh, EH14 1AT","Added on 31/01/2025
 by ELP Arbuthnott McClanachan, Edinburgh",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 31/01/2025,"This beautifully presented, three-bedroom and two public room, B-Listed, main door property has a fantastic location in the sought after Craiglockhart area of Edinburgh, close to excellent local amenities, schools, green spaces and transport links both into and out with the city. The property is ...",https://www.rightmove.co.uk/properties/157605464#/?channel=RES_BUY,620000,157605464,,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/157605464#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/253k/252134/157395080/252134_249204_DOC_00_0002.pdf""]","61 Clermiston Road, Edinburgh, EH12 6XA","Reduced on 12/02/2025
 by Neilsons Solicitors and Estate Agents, Edinburgh",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 12/02/2025,"This charming semi-detached property, located in the ever-popular Corstorphine area, offers a perfect combination of style, practicality, and convenience. Boasting beautifully maintained gardens, a driveway with an EV charging point, and access to excellent schools, public transport, and commuter...",https://www.rightmove.co.uk/properties/157395080#/?channel=RES_BUY,620000,157395080,,for-sale,,Leasehold (40 years),40 years,semi-detached villa,https://www.rightmove.co.uk/properties/157395080#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?activePlan=2&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW"", ""https://media.rightmove.co.uk/245k/244022/156147923/244022_8032620000016_5_38_100604_DOC_00_0000.pdf"", ""https://media.rightmove.co.uk/245k/244022/brochure_PDF_00.pdf""]","1 Bradshaw Lane,
Edinburgh,
EH12 0BB","Added on 15/02/2024
 by Miller Homes Scotland East",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 15/02/2024,"*WE HAVE A RANGE OF FANTASTIC OFFERS AVAILABLE, GET IN TOUCH TODAY TO FIND OUT MORE* The Elmford offers instant appeal with the LOUNGE, and KITCHEN DINING offering the flexibility to form one single space. Sharing the downstairs is a LAUNDRY ROOM, downstairs WC and DOUBLE GARAGE. Upstairs, TWO BE...",https://www.rightmove.co.uk/properties/156147923#/?channel=RES_BUY,619000,156147923,,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/156147923#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://docs.rezi.cloud/dKIsN9ZqvloxakAQb25TLMOl_TOdPsl6fVe0x00JYDI%3d/46315137.pdf?v=0000000003dd51aa""]","Elliot Road, Craiglockhart, Edinburgh, EH14","Added on 18/01/2025
 by MOV8 Real Estate, Scotland Head Office",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 18/01/2025,"Tastefully presented and spacious, flexible four-bedroom, detached bungalow, with gardens, a detached garage and a driveway. Located on a quiet side street in the sought-after Craiglockhart, lying to the southwest of Edinburgh city centre. A welcoming vestibule offers space for outerwear ...",https://www.rightmove.co.uk/properties/157056275#/?channel=RES_BUY,615000,157056275,,for-sale,,Leasehold (40 years),40 years,detached bungal,https://www.rightmove.co.uk/properties/157056275#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/250k/249212/156812642/249212_16148_DOC_00_0000.pdf""]","4 (1F2) Coates Place, Edinburgh, EH3 7AA","Added on 13/01/2025
 by Connell and Connell WS, Edinburgh",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 13/01/2025,"Elegant, spacious and very well presented first floor flat forming part of a handsome stone-built Georgian terrace located in Edinburgh's fashionable West End within easy walking distance of Princes Street, George Street, Lothian Road, and the main Financial District. Recreational facilities incl...",https://www.rightmove.co.uk/properties/156812642#/?channel=RES_BUY,615000,156812642,,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/156812642#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/129k/128743/157079843/128743_24602_DOC_00_0000.pdf""]","62 Liberton Brae, Edinburgh, EH16 6LB","Added on 19/01/2025
 by Deans Properties, Newington",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 19/01/2025,"New Fixed Price £10,000 below Hr Val - This spacious and tastefully extended semi-detached house with beautiful views of Arthur's Seat, Craigmillar Castle and Edinburgh Castle, is situated in the highly sought-after area of Liberton. The area benefits from excellent transport links to the city ce...",https://www.rightmove.co.uk/properties/157079843#/?channel=RES_BUY,615000,157079843,,for-sale,,Leasehold (30 years),30 years,semi-detached h,https://www.rightmove.co.uk/properties/157079843#/?channel=RES_BUY,Available (link not found)
