additional_links,address,agent,baths,beds,commonhold_details,council_tax_band,country_code,currency,date_added,description,link,price,property_id,property_size,property_type,service_charge,tenure,time_remaining_on_lease,type,url,virtual_tour
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Tower Place, Edinburgh, Midlothian, EH6","Reduced on 28/02/2025
 by Umega, Edinburgh",0,2,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 28/02/2025,"This beautifully presented two-bedroom property at Tower Place is situated in the heart of the vibrant Shore area in Leith, offering the perfect combination of contemporary comfort and picturesque surroundings.",https://www.rightmove.co.uk/properties/157181879#/?channel=RES_BUY,245000,157181879,,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/157181879#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","India Street, New Town, Edinburgh, EH3","Added on 10/09/2024
 by Savills, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/09/2024,One of few full townhouses remaining on India Street gloriously restored and modernised with a blend of subtle opulence and contemporary flare,https://www.rightmove.co.uk/properties/152265644#/?channel=RES_BUY,4750000,152265644,6678sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/152265644#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","India Street, Edinburgh","Added on 10/09/2024
 by Rettie, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 10/09/2024,"18 India Street is an exquisite, meticulously presented, fully restored and refurbished four-storey townhouse with mews double garage. The house is arguably one of its kind, situated on a distinguished wide cobbled street in the heart of the Edinburgh New Town, once famed as the only road in the ...",https://www.rightmove.co.uk/properties/152264552#/?channel=RES_BUY,4750000,152264552,6678sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/152264552#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/149212244/41048_EDN012444478_DOC_01_0009.pdf""]","Forres Street, Edinburgh, EH3","Reduced on 15/01/2025
 by Knight Frank, Edinburgh",0,8,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 15/01/2025,"An exceptional Georgian townhouse with a landscaped garden, in a prestigious New Town address. This five-storey, seven-bedroom family house sits in a prime location on Forres Street, with a landscaped garden and access to the stunning Moray Gardens just at the end of the road. The house has been...",https://www.rightmove.co.uk/properties/149212244#/?channel=RES_BUY,2950000,149212244,6090sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/149212244#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Inverleith Place, Inverleith, Edinburgh, EH3","Added on 21/09/2023
 by Savills, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 21/09/2023,"Beautifully presented detached family home, extending to over 4600sq ft, with wonderful southerly views of the Edinburgh skyline in one of North Edinburgh's most prestigious addresses",https://www.rightmove.co.uk/properties/140264516#/?channel=RES_BUY,2800000,140264516,4626sq. ft,for-sale,,Leasehold (15 years),15 years,detached h,https://www.rightmove.co.uk/properties/140264516#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Regent Terrace, New Town, Edinburgh, EH7","Added on 31/01/2025
 by Savills, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 31/01/2025,"A beautifully restored Georgian townhouse with breath-taking views, immaculate interiors and private rear garden with direct access to the exclusive Regent Gardens",https://www.rightmove.co.uk/properties/157605638#/?channel=RES_BUY,2700000,157605638,3680sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/157605638#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/153816131/41048_POD012372663_DOC_01_0000.pdf""]","St. Margaret's Road, Greenhill, Edinburgh, EH9","Reduced on 03/10/2023
 by Knight Frank, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 03/10/2023,"A beautiful, detached house with a large garden, parking, and a garage This is a rare opportunity to acquire an outstanding family house in a prime south side address. Extensive living and entertaining space is well balanced by seven double bedrooms. This imposing house sits centrally in its gr...",https://www.rightmove.co.uk/properties/153816131#/?channel=RES_BUY,2650000,153816131,5076sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/153816131#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Northumberland Street, Edinburgh","Added on 28/02/2025
 by Rettie, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 28/02/2025,"12 Northumberland Street is a fine example of a traditional four-storey Georgian townhouse, in an enviable end terrace position, situated on a picture-perfect cobbled street in the heart of the New Town, one of Edinburgh’s most coveted areas. This spectacular home offers the epitome of mode...",https://www.rightmove.co.uk/properties/158823251#/?channel=RES_BUY,2550000,158823251,4552sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/158823251#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Belford Road, West End, Edinburgh","Added on 03/03/2025
 by Murray & Currie, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",h,GB,GBP,Added on 03/03/2025,"60/13 Belford Road is a vast, Penthouse apartment boasting four double bedrooms, three bathrooms, exceptional living space and direct access via the developments lift.",https://www.rightmove.co.uk/properties/158917481#/?channel=RES_BUY,2500000,158917481,,for-sale,,Leasehold (100 years),100 years,penth,https://www.rightmove.co.uk/properties/158917481#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Plot L3.40, Village View, Belford Road, Edinburgh, Midlothian","Added on 28/02/2025
 by Rettie, New Homes",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",h,GB,GBP,Added on 28/02/2025,"An incredible four-bedroom penthouse, overlooking the water of Leith and the picturesque Dean Village. Plot L3.40 Belford Road is located in Village View, the latest jewel in the AMA Homes crown. The development is perfectly located to take advantage of all that Edinburgh’s city...",https://www.rightmove.co.uk/properties/158824172#/?channel=RES_BUY,2500000,158824172,3443sq. ft,for-sale,,Leasehold (40 years),40 years,penth,https://www.rightmove.co.uk/properties/158824172#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Old Craig, Craighouse, Edinburgh, EH10","Reduced on 13/06/2024
 by Savills, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 13/06/2024,"Splendid and historic refurbished Scots Baronial house finished to an exceptionally high specification, set in grounds of just under one acre within the exclusive Craighouse development",https://www.rightmove.co.uk/properties/129578894#/?channel=RES_BUY,2450000,129578894,,for-sale,,Leasehold (160 years),160 years,detached h,https://www.rightmove.co.uk/properties/129578894#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Melville Street, New Town, Edinburgh, EH3","Added on 03/03/2025
 by Savills, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 03/03/2025,Elegant and beautifully presented refurbished Georgian townhouse with garaging on one of The New Town Conservation Area's prettiest streets,https://www.rightmove.co.uk/properties/158919032#/?channel=RES_BUY,2350000,158919032,5855sq. ft,for-sale,,Leasehold (10 years),10 years,te,https://www.rightmove.co.uk/properties/158919032#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Northumberland Street, Edinburgh, EH3","Added on 06/03/2025
 by Macgregor, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 06/03/2025,"14 Northumberland Street is a beautifully presented six-bedroom Georgian townhouse in the heart of Edinburgh's New Town, with a south-facing rear garden and garage.",https://www.rightmove.co.uk/properties/159078827#/?channel=RES_BUY,2275000,159078827,3754sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/159078827#/?channel=RES_BUY,
,"11 Gayfield Square, Edinburgh","Marketed by Savills, Edinburgh",0,0,,,GB,GBP,,Rare residential development opportunity in Edinburgh’s New Town,https://www.rightmove.co.uk/properties/148739375#/?channel=COM_BUY,POA,148739375,4356sq. ft,for-sale,,,,Not specified,https://www.rightmove.co.uk/properties/148739375#/?channel=COM_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/153422663/41048_EBR012479507_DOC_01_0003.pdf""]","Melville Street, Edinburgh, EH3","Added on 09/10/2024
 by Knight Frank, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 09/10/2024,"An exceptional refurbished Georgian townhouse in the West End. This spectacular townhouse, built in circa 1825, is accessed via an inviting main door entrance at ground level. The entrance hall sets the tone, both in terms of the scale and the quality of the finish. On the ground level, the im...",https://www.rightmove.co.uk/properties/153422663#/?channel=RES_BUY,1975000,153422663,4361sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/153422663#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","St. Albans Road, The Grange","Added on 30/01/2025
 by Ellisons, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 30/01/2025,A classic detached Victorian villa in the heart of the Grange. The Grange conservation area is one of Edinburgh's most desirable residential districts. It lies approximately one mile south of the city centre with a wealth of amenities within a short distance. Excellent schools in both the state a...,https://www.rightmove.co.uk/properties/157590791#/?channel=RES_BUY,1950000,157590791,5052sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/157590791#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Simpson Loan, Edinburgh, Midlothian","Added on 06/03/2025
 by Rettie, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 06/03/2025,"Flat 31, 12 Simpson Loan is an exquisite triplex penthouse apartment, occupying a prime position situated on the eighth, ninth and tenth floors, within the prestigious Quartermile development. Showcasing cutting edge design features, a luxury finish throughout, 24-hour Caretaker Service, two und...",https://www.rightmove.co.uk/properties/159079133#/?channel=RES_BUY,1900000,159079133,3296sq. ft,for-sale,,Leasehold (40 years),40 years,penth,https://www.rightmove.co.uk/properties/159079133#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Isla Bank, Newbattle Terrace, Morningside, Edinburgh, EH10","Added on 29/01/2025
 by Savills, Edinburgh",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 29/01/2025,Immaculately presented detached Victorian villa in a prime Morningside location,https://www.rightmove.co.uk/properties/157532132#/?channel=RES_BUY,1850000,157532132,4007sq. ft,for-sale,,Leasehold (160 years),160 years,detached h,https://www.rightmove.co.uk/properties/157532132#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/42k/41048/150066449/41048_EDN012482057_DOC_01_0005.pdf""]","Moray Place, Edinburgh, EH3","Added on 09/07/2024
 by Knight Frank, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 09/07/2024,"A rarely available five-bedroom apartment with private lift access situated in Moray Place, considered to be Edinburgh’s most revered and desirable New Town address. Moray Place is a truly exceptional five-bedroom apartment that promises an unparalleled living experience in one of Edinburgh's mo...",https://www.rightmove.co.uk/properties/150066449#/?channel=RES_BUY,1850000,150066449,3931sq. ft,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/150066449#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Ann Street, Edinburgh","Added on 27/02/2025
 by Rettie, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/02/2025,"This is a rare opportunity to acquire a stylishly presented and beautifully furnished four/five bedroomed house on Ann Street, viewed as one of the most prestigious residential addresses in Edinburgh. Ann Street is a row of elegantly proportioned Georgian townhouses designed by renowned portrait...",https://www.rightmove.co.uk/properties/158778425#/?channel=RES_BUY,1800000,158778425,2227sq. ft,for-sale,,Leasehold (40 years),40 years,te,https://www.rightmove.co.uk/properties/158778425#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Millerfield Place, Edinburgh, EH9","Added on 22/11/2024
 by Niksen Property, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 22/11/2024,FULL LBTT PAID - A meticulously refurbished 5 bedroom Victorian villa offering timeless elegance and strong eco credentials.,https://www.rightmove.co.uk/properties/155278658#/?channel=RES_BUY,1750000,155278658,2770sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/155278658#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Royal Meadows,
Sciennes Road,
Edinburgh,
EH9 1LG","Added on 05/04/2024
 by Square and Crescent",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/04/2024,"FULL LBTT PAID* Millerfield Townhouse 04 - Millerfield Place, Edinburgh. Delightful 5 bedroom townhouse offering the perfect balance of contemporary comfort and period charm.",https://www.rightmove.co.uk/properties/146488097#/?channel=RES_BUY,1750000,146488097,2770sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/146488097#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Merchiston Park, Merchiston, Edinburgh, EH10","Added yesterday
 by Savills, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added yesterday,Handsome detached stone built Victorian villa in one of Edinburgh's most sought after areas,https://www.rightmove.co.uk/properties/159507704#/?channel=RES_BUY,1700000,159507704,4283sq. ft,for-sale,,Leasehold (160 years),160 years,detached h,https://www.rightmove.co.uk/properties/159507704#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","161 Colinton Road, Merchiston, Edinburgh, EH14 1BE","Added yesterday
 by Wilson Property Group, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added yesterday,"A truly stunning Edwardian property located in the sought after location of Merchiston, offering a unique opportunity to own a piece of history, enriched with modern luxuries.",https://www.rightmove.co.uk/properties/159497432#/?channel=RES_BUY,1700000,159497432,4512sq. ft,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/159497432#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Colinton Cottage, Pentland Avenue, Colinton, Edinburgh, EH13","Added on 05/02/2025
 by Savills, Edinburgh",0,7,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/02/2025,"Sizeable detached family house designed and built by Sir Robert Lorimer, with a self-contained annexe and set within superb south and west facing mature garden grounds of almost 0.9 acres.",https://www.rightmove.co.uk/properties/157821929#/?channel=RES_BUY,1650000,157821929,4686sq. ft,for-sale,,Leasehold (160 years),160 years,detached h,https://www.rightmove.co.uk/properties/157821929#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Coltbridge Avenue, Murrayfield, Edinburgh, EH12","Added on 26/02/2025
 by Belvoir Sales, Edinburgh",0,1,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/02/2025,"A charming one-bedroom, First floor flat (top floor), nestled in the desirable Roseburn area of Edinburgh on Coltbridge Avenue. The property has great storage, gas central heating and sash & case windows.",https://www.rightmove.co.uk/properties/158736410#/?channel=RES_BUY,190000,158736410,,for-sale,,Leasehold (40 years),40 years,Not specified,https://www.rightmove.co.uk/properties/158736410#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Ainslie Place, New Town, Edinburgh, EH3","Added on 18/12/2024
 by Savills, Edinburgh",0,6,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 18/12/2024,Beautifully proportioned main door townhouse set over four floors and well positioned with a delightful outlook over central gardens and quick access to the town centre,https://www.rightmove.co.uk/properties/156067433#/?channel=RES_BUY,1595000,156067433,4519sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/156067433#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/171k/170039/156449279/170039_12043_DOC_00_0000.pdf""]",Braehead Road,"Reduced on 04/02/2025
 by Cullerton's, Edinburgh",0,10,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Reduced on 04/02/2025,"Offering a truly unique and outstanding family home in desirable Barnton, this nine/ten-bedroom, nine-bathroom (plus two separate WCs) detached house was built by the current owner in 2020 to an exacting specification, with modern family life in mind and using the latest technology and insula...",https://www.rightmove.co.uk/properties/156449279#/?channel=RES_BUY,1595000,156449279,,for-sale,,Leasehold (30 years),30 years,detached h,https://www.rightmove.co.uk/properties/156449279#/?channel=RES_BUY,Available (link not found)
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Royal Meadows,
Sciennes Road,
Edinburgh,
EH9 1LG","Added on 05/04/2024
 by Square and Crescent",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/04/2024,"FULL LBTT PAID* Millerfield Townhouse 02, Millerfield Place, Edinburgh Delightful 5 bedroom townhouse offering the perfect balance of contemporary comfort and period charm.",https://www.rightmove.co.uk/properties/146485961#/?channel=RES_BUY,1550000,146485961,2485sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/146485961#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Royal Meadows,
Sciennes Road,
Edinburgh,
EH9 1LG","Added on 23/02/2025
 by Square and Crescent",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 23/02/2025,"FULL LBTT PAID* Millerfield Townhouse 08, Millerfield Place, Edinburgh Delightful 5 bedroom townhouse offering the perfect balance of contemporary comfort and period charm.",https://www.rightmove.co.uk/properties/158599511#/?channel=RES_BUY,1550000,158599511,2510sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/158599511#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Royal Meadows,
Sciennes Road,
Edinburgh,
EH9 1LG","Added on 05/04/2024
 by Square and Crescent",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 05/04/2024,"FULL LBTT PAID* Millerfield Townhouse 01, Millerfield Place, Edinburgh, Delightful five bedroom townhouse offering the perfect balance of contemporary comfort and period charm.",https://www.rightmove.co.uk/properties/146475614#/?channel=RES_BUY,1550000,146475614,2565sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/146475614#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Royal Meadows,
Sciennes Road,
Edinburgh,
EH9 1LG","Added on 09/06/2024
 by Square and Crescent",0,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 09/06/2024,"Located on Rillbank Terrace, this four bedroom duplex apartment has main door access with front and rear gardens. As well as four well-proportioned bedrooms, the apartment benefits from dining kitchen and separate lounge.",https://www.rightmove.co.uk/properties/148929269#/?channel=RES_BUY,1550000,148929269,2495sq. ft,for-sale,,Leasehold (40 years),40 years,duplex,https://www.rightmove.co.uk/properties/148929269#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Millerfield Place, Edinburgh, EH9","Added on 22/11/2024
 by Niksen Property, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 22/11/2024,FULL LBTT PAID - A meticulously refurbished 5 bedroom Victorian villa offering timeless elegance and strong eco credentials.,https://www.rightmove.co.uk/properties/155278787#/?channel=RES_BUY,1550000,155278787,2485sq. ft,for-sale,,Leasehold (40 years),40 years,t,https://www.rightmove.co.uk/properties/155278787#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Donaldson Crescent, Edinburgh","Added on 27/09/2024
 by Rettie, Edinburgh",0,3,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 27/09/2024,"** FABULOUS THREE BEDROOM DUPLEX APARTMENT WITH TERRACE AND TWO UNDERGROUND PARKING SPACES ** An outstanding opportunity to acquire an exceptional, award winning, three-bedroom contemporary duplex apartment in one of Edinburgh’s most sought-after developments. Set within 18 acres...",https://www.rightmove.co.uk/properties/153097121#/?channel=RES_BUY,1500000,153097121,2569sq. ft,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/153097121#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_NEW"", ""#/floorplan?channel=RES_NEW""]","Apartment Eleven, No.9 Barnton Avenue West, Edinburgh","Added on 13/12/2024
 by Rettie, New Homes",5,4,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",h,GB,GBP,Added on 13/12/2024,"Apartment 11 is an exceptional 4 bedroom, 5 bathroom apartment located in the No.9 Barnton Avenue West development. With bespoke finishes and spacious, considered layouts, No.9 Barnton Avenue West is an exclusive collection of eight apartments and three penthouses nestled within verda...",https://www.rightmove.co.uk/properties/155940368#/?channel=RES_BUY,1500000,155940368,2681sq. ft,for-sale,,Leasehold (40 years),40 years,apa,https://www.rightmove.co.uk/properties/155940368#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?activePlan=2&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://media.rightmove.co.uk/171k/170039/158116805/170039_17605_DOC_00_0000.pdf""]","7 Smith’s Place, Leith, Edinburgh, EH6 8NT","Added on 11/02/2025
 by Cullerton's, Edinburgh",0,10,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 11/02/2025,"7 Smith's Place offers a unique development opportunity of a stunning, early 19th century Georgian building into six apartments, with full planning approval. The approved plans consist of x4, two-bedroom serviced apartments and x2 studio serviced apartments. Each apartment has been carefully desi...",https://www.rightmove.co.uk/properties/158116805#/?channel=RES_BUY,1500000,158116805,4724sq. ft,for-sale,,Leasehold (30 years),30 years,Not specified,https://www.rightmove.co.uk/properties/158116805#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY"", ""https://app.rexsoftware.com/public/ebrochure/?region=eu_uk_1&listing_id=537584&account_id=3179""]","10 Blacket Place, Edinburgh, EH9","Added on 24/02/2025
 by Revere, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 24/02/2025,"Nestled in the tranquil and highly desirable Blacket Conservation Area of Edinburgh, this exceptional five-bedroom semi-detached residence, has been meticulously renovated to create a home that blends contemporary design and luxury",https://www.rightmove.co.uk/properties/158608514#/?channel=RES_BUY,1500000,158608514,3238sq. ft,for-sale,,Leasehold (40 years),40 years,semi-detached h,https://www.rightmove.co.uk/properties/158608514#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","St. Bernards Crescent, New Town, Edinburgh, EH4","Added on 26/06/2024
 by Savills, Edinburgh",0,5,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 26/06/2024,An impressive A-listed Georgian townhouse set over four floors located at one of Edinburgh's most desirable addresses in the historic New Town.,https://www.rightmove.co.uk/properties/149612192#/?channel=RES_BUY,1500000,149612192,3762sq. ft,for-sale,,Leasehold (160 years),160 years,te,https://www.rightmove.co.uk/properties/149612192#/?channel=RES_BUY,
"[""#/floorplan?activePlan=1&channel=RES_BUY"", ""#/floorplan?channel=RES_BUY""]","Milton Road East, Edinburgh, Midlothian","Added on 19/09/2024
 by Rettie, Edinburgh",0,11,"Describes how you own a property. There are different types of tenure - freehold, leasehold, and commonhold.",,GB,GBP,Added on 19/09/2024,"A rare opportunity to acquire an exceptionally well-maintained Guest house - Aaran Lodge - offering a mixed-use opportunity with 9 letting rooms, a residential wing, and development plot. The property enjoys excellent transport links to the city centre, close proximity to the beach and loca...",https://www.rightmove.co.uk/properties/87029619#/?channel=RES_BUY,1475000,87029619,5289sq. ft,for-sale,,Leasehold (40 years),40 years,detached h,https://www.rightmove.co.uk/properties/87029619#/?channel=RES_BUY,
,"97 Mayfield Road, Newington","Added on 22/08/2024
 by Cullerton's, Edinburgh",0,5,,,,,Added on 22/08/2024,This five-bedroom detached stone-built property lies within a leafy conservation area in one of Edinburgh's most exclusive postcodes. The Victorian residence showcases period splendour with classical proportions and exquisite period features. It is an exceptional family home with multiple rec...,https://www.rightmove.co.uk/properties/151626872#/?channel=RES_BUY,1450000,151626872,,for-sale,,,,detached h,https://www.rightmove.co.uk/properties/151626872#/?channel=RES_BUY,
,"Redhall House Drive, Craiglockhart, Edinburgh, EH14","Added on 30/01/2025
 by Savills, Edinburgh",0,5,,,,,Added on 30/01/2025,"Immaculately presented detached modern family home with mature gardens to the front and rear, as well as a double garage, in a highly sought after and exclusive development",https://www.rightmove.co.uk/properties/157569137#/?channel=RES_BUY,1425000,157569137,,for-sale,,,,detached h,https://www.rightmove.co.uk/properties/157569137#/?channel=RES_BUY,
