address,agent,baths,beds,date_added,description,link,price,type
"Chester Square, Belgravia, London, SW1W, United Kingdom","Added on 02/04/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,6,Added on 02/04/2024,Exceptional Grade II-listed townhouse in Belgravia,https://www.rightmove.co.uk/properties/152041028#/?channel=RES_BUY,25000000,t
"Park Place Villas, Little Venice, London, W9","Reduced on 06/09/2024
 by Aston Chase, London",0,8,Reduced on 06/09/2024,"A supremely elegant early Victorian Italianiate style Grade II Listed villa (759.74/8,178 sq ft) situated in the heart of Little Venice. The stuccoed exterior boasts splendid Roman arches, portals and balustrades, with a tall tower offset to the left of the façade. 1...",https://www.rightmove.co.uk/properties/150829934#/?channel=RES_BUY,25000000,detached h
"Chester Square, Belgravia, SW1W","Added on 27/09/2024
 by Russell Simpson, Chelsea",0,6,Added on 27/09/2024,"Outstanding Belgravia townhouse with garage, lift, sauna and spa on a prestigious and historic garden square",https://www.rightmove.co.uk/properties/153083447#/?channel=RES_BUY,25000000,te
"Lowndes Square, London, SW1X","Added on 24/04/2023
 by Beauchamp Estates Ltd, Mayfair - Resale",0,10,Added on 24/04/2023,"An impressive interior designed 9,000 sq ft home with planning consent, well located in Belgravia minutes from Hyde Park",https://www.rightmove.co.uk/properties/141476324#/?channel=RES_BUY,25000000,t
"Lowndes Square, London, SW1X","Added on 19/04/2023
 by Savills, Sloane Street",0,10,Added on 19/04/2023,A unique freehold 'key-house' located in Knightsbridge. This development opportunity has planning permission for a magnificent residence with a linked mews house.,https://www.rightmove.co.uk/properties/133822685#/?channel=RES_BUY,25000000,te
"Chester Square, London","Added on 18/04/2024
 by Knightsbridge Prime Property, Knightsbridge",0,6,Added on 18/04/2024,"A meticulously designed and elegant family home spanning 6,007 ft2, located on one of London's finest squares in Belgravia. This exceptional Grade II listed property, built in 1845 by Thomas Cundy II as part of Sir Robert Grosvenor's vision for Belgravia, showcases Regency architecture ...",https://www.rightmove.co.uk/properties/146966699#/?channel=RES_BUY,25000000,h
"Cornwall Terrace, Regent's Park","Reduced on 10/02/2022
 by Sandfords, Regents Park",0,6,Reduced on 10/02/2022,"An extremely rare opportunity to purchase a magnificent, Grade I listed, Regency styled property in one of London’s most prestigious locations. The property, spread across 9,213 sq ft, is offered in shell condition with the benefit of Planning Permission, Listed Building and Crow...",https://www.rightmove.co.uk/properties/47838357#/?channel=RES_BUY,25000000,te
"St. John's Wood, London, NW8","Reduced on 11/07/2023
 by DDRE.global, London",0,8,Reduced on 11/07/2023,"An imposing and handsome eight bedroom residence on St John's Wood's most sought-after street, Hamilton Terrace",https://www.rightmove.co.uk/properties/135107819#/?channel=RES_BUY,24950000,detached h
"Winnington Road, N2","Added on 08/04/2024
 by Glentree Estates Ltd, London",0,6,Added on 08/04/2024,"A magnificent bespoke residence set behind security gates in the area’s most coveted location, backing directly onto Hampstead Golf Course. This outstanding home features exquisite contemporary interiors throughout. Arranged over four floors, the property has 16,749 sq. ft . (1,559 sq. m...",https://www.rightmove.co.uk/properties/146560094#/?channel=RES_BUY,24950000,detached h
"Winnington Road, Hampstead, London, N2, United Kingdom","Added on 10/10/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,8,Added on 10/10/2024,Outstanding luxury family home in Hampstead,https://www.rightmove.co.uk/properties/153623726#/?channel=RES_BUY,24950000,h
"Richmond Road, Leytonstone, London, E11","Reduced on 12/03/2025
 by Central Estate Agents, Leytonstone & Leyton",0,2,Reduced on 12/03/2025,"This beautifully arranged two-bedroom Abrahams flat offers a perfect blend of charm and modern comfort. Spanning 616 sq. ft., this ground-floor home boasts spacious, light-filled rooms enhanced by elegant hardwood floors. The front-facing double bedroom is a true retreat, featuring a stunning bay...",https://www.rightmove.co.uk/properties/158442755#/?channel=RES_BUY,475000,Not specified
"Winnington Road, London, N2","Added on 08/04/2024
 by Beauchamp Estates Ltd, St John's Wood",0,6,Added on 08/04/2024,"Situated on one of the finest roads in Hampstead, this exceptional four-floor, detached, gated residence is filled with contemporary, bright, open spaces, along with swimming pool and spa facilities, perfect for entertaining and stylish family living",https://www.rightmove.co.uk/properties/146559665#/?channel=RES_BUY,24950000,detached h
"Queen's Gate, South Kensington SW7","Added on 15/03/2025
 by Knight Frank, South Kensington",0,12,Added on 15/03/2025,"An immaculate 10 bedroom house and adjoining 2 bed mews house, featuring a lift, air conditioning, a swimming pool, gym, sauna, cinema and outside space on a prestigious residential street in SW7. An immaculately presented, Grade II listed, mid-terrace house, constructed in the mid-19th century,...",https://www.rightmove.co.uk/properties/159466775#/?channel=RES_BUY,24500000,te
"The Astor, Millbank, Westminster, London, SW1P, United Kingdom","Added on 11/12/2024
 by United Kingdom Sotheby's International Realty (GPM Principal Branch), Mayfair",0,5,Added on 11/12/2024,Beautiful apartment set on the banks of the River Thames,https://www.rightmove.co.uk/properties/155845895#/?channel=RES_BUY,24000000,penth
"One Kensington Gardens, Kensington Road, London","Added on 01/02/2024
 by Strutt & Parker, London - New Homes",0,5,Added on 01/02/2024,An Oustanding Five-Bedroom Suite Apartment located in the heart of Kensington overlooking Kensington Park.,https://www.rightmove.co.uk/properties/144247409#/?channel=RES_BUY,24000000,Not specified
"Clarges Street, Mayfair, London, W1J","Added on 21/01/2025
 by Knight Frank, Mayfair",0,3,Added on 21/01/2025,"Spacious three bedroom apartment in the Clarges Development offering exceptional views over Green Park with porter, parking and full spa/gym facilities Clarges Mayfair is an exquisite landmark new development by British Land of just 34 apartments. Designed by world-renowned Squire & partners, wi...",https://www.rightmove.co.uk/properties/157156061#/?channel=RES_BUY,24000000,Not specified
